spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence
12800,7200,5600,25600,1,1,1,0.5,0.28125,0.21875,4,4,4,3,0,"[""1396247347"", ""3884003354"", ""3270001687"", ""499683006"", ""3970837787"", ""3399065363"", ""968099481"", ""1292979587"", ""2971868509""]","[1080948381, 1080948381, 2948410412, 2414191464, 1080948381, 731943444, 731943444, 731943444, 731943444, 1080948381, 2414191464, 2948410412, 2948410412, 2414191464, 2414191464, 2948410412]"
15200,6400,12000,33600,1,1,1,0.4523809523809524,0.19047619047619047,0.35714285714285715,4,4,4,4,1,"[""3696726732"", ""1396247347"", ""668299740"", ""2108215830"", ""381961617"", ""2829638276"", ""3399065363"", ""1409190604"", ""3970837787"", ""2971868509"", ""2617435668"", ""968099481"", ""1292979587""]","[1080948381, 1080948381, 2948410412, 2414191464, 1080948381, 731943444, 731943444, 731943444, 731943444, 1080948381, 2414191464, 2948410412, 2948410412, 2414191464, 2414191464, 2948410412]"
12000,800,12000,24800,1,0,1,0.4838709677419355,0.03225806451612903,0.4838709677419355,4,3,4,4,0,"[""2739107182"", ""4104549924"", ""710436191"", ""668299740"", ""1710079648"", ""968099481"", ""1292979587"", ""1813726886"", ""2617435668""]","[1080948381, 1080948381, 2948410412, 2414191464, 1080948381, 731943444, 731943444, 731943444, 731943444, 1080948381, 2414191464, 2948410412, 2948410412, 2414191464, 2414191464, 2948410412]"
6400,16000,12000,34400,1,1,1,0.18604651162790697,0.46511627906976744,0.3488372093023256,4,3,4,4,1,"[""2739107182"", ""709540378"", ""3585132399"", ""1409190604"", ""1250307611"", ""3270001687"", ""968099481"", ""7409189"", ""2617435668"", ""2121044373""]","[1080948381, 1080948381, 2948410412, 2414191464, 1080948381, 731943444, 731943444, 731943444, 731943444, 1080948381, 2414191464, 2948410412, 2948410412, 2414191464, 2414191464, 2948410412]"
4000,7200,1600,12800,0,1,0,0.3125,0.5625,0.125,4,4,4,4,1,"[""1548066885"", ""2356412290"", ""393974127"", ""499683006"", ""3270001687"", ""1710079648"", ""2447176615"", ""1813726886""]","[1080948381, 1080948381, 2948410412, 2414191464, 1080948381, 731943444, 731943444, 731943444, 731943444, 1080948381, 2414191464, 2948410412, 2948410412, 2414191464, 2414191464, 2948410412]"
11200,16000,11200,38400,1,1,1,0.2916666666666667,0.4166666666666667,0.2916666666666667,4,3,4,4,1,"[""2226497419"", ""668299740"", ""381961617"", ""1342610602"", ""2064029594"", ""1055679805"", ""499683006"", ""1235347618"", ""1282141666"", ""1813726886"", ""2617435668"", ""1219329868"", ""2951612397""]","[1080948381, 1080948381, 2948410412, 2414191464, 1080948381, 731943444, 731943444, 731943444, 731943444, 1080948381, 2414191464, 2948410412, 2948410412, 2414191464, 2414191464, 2948410412]"
5600,1600,6400,13600,1,0,1,0.4117647058823529,0.11764705882352941,0.47058823529411764,4,4,4,4,1,"[""381961617"", ""2739107182"", ""1548066885"", ""499683006"", ""968099481"", ""2462046703"", ""1292979587"", ""1813726886""]","[1080948381, 1080948381, 2948410412, 2414191464, 1080948381, 731943444, 731943444, 731943444, 731943444, 1080948381, 2414191464, 2948410412, 2948410412, 2414191464, 2414191464, 2948410412]"
8000,4800,10400,23200,1,1,1,0.3448275862068966,0.20689655172413793,0.4482758620689655,4,4,4,4,1,"[""811521119"", ""381961617"", ""4104549924"", ""3403085434"", ""1235347618"", ""3731635960"", ""2617435668"", ""1292979587"", ""968099481""]","[1080948381, 1080948381, 2948410412, 2414191464, 1080948381, 731943444, 731943444, 731943444, 731943444, 1080948381, 2414191464, 2948410412, 2948410412, 2414191464, 2414191464, 2948410412]"
8000,16800,11200,36000,1,1,1,0.2222222222222222,0.4666666666666667,0.3111111111111111,4,4,4,4,1,"[""1548066885"", ""668299740"", ""2480592370"", ""951866250"", ""3585132399"", ""3399065363"", ""3357231760"", ""1813726886"", ""630839635"", ""1292979587""]","[1080948381, 1080948381, 2948410412, 2414191464, 1080948381, 731943444, 731943444, 731943444, 731943444, 1080948381, 2414191464, 2948410412, 2948410412, 2414191464, 2414191464, 2948410412]"
9600,8800,1600,20000,1,1,0,0.48,0.44,0.08,4,3,4,4,0,"[""1770441818"", ""710436191"", ""393974127"", ""2447176615"", ""865846625"", ""3633614685"", ""1813726886""]","[1080948381, 1080948381, 2948410412, 2414191464, 1080948381, 731943444, 731943444, 731943444, 731943444, 1080948381, 2414191464, 2948410412, 2948410412, 2414191464, 2414191464, 2948410412]"
