spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence,cluster
7200,8000,16000,31200,1,1,1,0.2307692307692307,0.2564102564102564,0.5128205128205128,4,4,4,4,0,"[""2010028405"", ""3884003354"", ""3585132399"", ""334300056"", ""4139877411"", ""3633614685"", ""630839635"", ""1254091416"", ""1152158042""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
7200,4000,6400,17600,1,0,1,0.4090909090909091,0.2272727272727272,0.3636363636363636,4,4,4,4,0,"[""2678489038"", ""3862866912"", ""2010028405"", ""1009965641"", ""2064029594"", ""3633614685"", ""3399065363"", ""2447176615"", ""4139877411"", ""3005970438""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
9600,800,8000,18400,1,0,1,0.5217391304347826,0.0434782608695652,0.4347826086956521,4,3,3,4,0,"[""2010028405"", ""393974127"", ""709540378"", ""3077079169"", ""3294954488"", ""4139877411"", ""1152158042"", ""1813726886""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
4800,4800,8800,18400,1,1,1,0.2608695652173913,0.2608695652173913,0.4782608695652174,4,3,4,4,0,"[""690458959"", ""2010028405"", ""1009965641"", ""2829638276"", ""3633614685"", ""3585132399"", ""968099481"", ""2951612397"", ""1152158042""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
4000,5600,2400,12000,0,1,0,0.3333333333333333,0.4666666666666667,0.2,4,3,3,3,0,"[""709540378"", ""1009965641"", ""112198670"", ""3633614685"", ""3585132399"", ""2951612397"", ""1439347412""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",2
6400,8000,5600,20000,1,1,1,0.32,0.4,0.28,4,3,3,4,1,"[""709540378"", ""395867183"", ""3077079169"", ""2010028405"", ""3633614685"", ""3399065363"", ""1414025773"", ""334300056"", ""1193964439"", ""754480263"", ""2971868509""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
10400,800,12800,24000,1,0,1,0.4333333333333333,0.0333333333333333,0.5333333333333333,4,4,3,4,1,"[""1770441818"", ""3077079169"", ""2064029594"", ""3791587546"", ""2678489038"", ""2829638276"", ""630839635"", ""343572757""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
9600,2400,9600,21600,1,0,1,0.4444444444444444,0.1111111111111111,0.4444444444444444,4,4,3,4,1,"[""3077079169"", ""2010028405"", ""709540378"", ""2064029594"", ""3791587546"", ""2603935618"", ""1710079648"", ""2121044373"", ""1152158042""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
4800,800,6400,12000,1,0,1,0.4,0.0666666666666666,0.5333333333333333,4,4,4,4,0,"[""4053935515"", ""3077079169"", ""1009965641"", ""4139877411"", ""2717651715"", ""1254091416""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
8000,7200,8000,23200,1,1,1,0.3448275862068966,0.3103448275862069,0.3448275862068966,4,3,3,3,1,"[""393974127"", ""4053935515"", ""2010028405"", ""1009965641"", ""1770441818"", ""1235347618"", ""3970837787"", ""3633614685"", ""3585132399"", ""1193964439"", ""2121044373"", ""2081037738""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
7200,1600,11200,20000,1,0,1,0.36,0.08,0.56,4,3,3,4,0,"[""2010028405"", ""393974127"", ""2064029594"", ""1932939246"", ""876563814"", ""2081037738"", ""630839635"", ""3261353684""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
6400,2400,1600,10400,1,0,0,0.6153846153846154,0.2307692307692307,0.1538461538461538,4,4,3,4,1,"[""1932939246"", ""2152872419"", ""4139877411"", ""3074274290"", ""2951612397""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",2
5600,4800,11200,21600,1,1,1,0.2592592592592592,0.2222222222222222,0.5185185185185185,4,4,4,4,0,"[""2064029594"", ""4053935515"", ""2010028405"", ""1644605047"", ""2163598980"", ""1193964439"", ""343572757"", ""2951612397""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
7200,6400,4800,18400,1,1,1,0.391304347826087,0.3478260869565217,0.2608695652173913,4,4,4,4,0,"[""709540378"", ""2064029594"", ""395867183"", ""3077079169"", ""3491236900"", ""2717651715"", ""2951612397""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
4800,11200,10400,26400,1,1,1,0.1818181818181818,0.4242424242424242,0.3939393939393939,4,4,4,4,1,"[""1009965641"", ""393974127"", ""2064029594"", ""2010028405"", ""3633614685"", ""2037039379"", ""4139877411"", ""1414025773"", ""754480263"", ""3261353684"", ""630839635""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
13600,9600,13600,36800,1,1,1,0.3695652173913043,0.2608695652173913,0.3695652173913043,4,4,4,4,0,"[""2010028405"", ""4053935515"", ""3884003354"", ""3294954488"", ""4139877411"", ""3074274290"", ""1955841979"", ""3633614685"", ""2717651715"", ""1152158042"", ""619484391"", ""754480263""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
9600,800,800,11200,1,0,0,0.8571428571428571,0.0714285714285714,0.0714285714285714,4,3,3,4,1,"[""395867183"", ""3862866912"", ""709540378"", ""1009965641"", ""2678489038"", ""4139877411"", ""968099481""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",2
4800,6400,6400,17600,1,1,1,0.2727272727272727,0.3636363636363636,0.3636363636363636,2,3,3,4,0,"[""4053935515"", ""2064029594"", ""334300056"", ""1414025773"", ""630839635""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
8000,3200,13600,24800,1,0,1,0.3225806451612903,0.1290322580645161,0.5483870967741935,4,4,4,4,0,"[""2064029594"", ""3077079169"", ""1009965641"", ""3791587546"", ""3331811235"", ""3585132399"", ""630839635"", ""3261353684"", ""1193964439"", ""968099481""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
4000,4800,7200,16000,0,1,1,0.25,0.3,0.45,4,4,4,4,0,"[""3077079169"", ""4053935515"", ""4139877411"", ""334300056"", ""3399065363"", ""2462046703"", ""630839635""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
10400,4000,4000,18400,1,0,0,0.5652173913043478,0.217391304347826,0.217391304347826,2,3,4,4,0,"[""4053935515"", ""2463960640"", ""3791587546"", ""2010028405"", ""3633614685"", ""334300056"", ""2951612397"", ""754480263"", ""1813726886""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",2
9600,2400,8000,20000,1,0,1,0.48,0.12,0.4,4,3,3,4,1,"[""3884003354"", ""2678489038"", ""2566692615"", ""2829638276"", ""2617435668"", ""2971868509""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
6400,3200,8000,17600,1,0,1,0.3636363636363636,0.1818181818181818,0.4545454545454545,4,4,3,4,0,"[""1009965641"", ""3294954488"", ""3862866912"", ""393974127"", ""334300056"", ""630839635"", ""2951612397""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
9600,6400,1600,17600,1,1,0,0.5454545454545454,0.3636363636363636,0.0909090909090909,4,3,3,4,0,"[""709540378"", ""4053935515"", ""1770441818"", ""395867183"", ""334300056"", ""1414025773"", ""380806748""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",2
10400,8000,8800,27200,1,1,1,0.3823529411764705,0.2941176470588235,0.3235294117647059,4,3,3,4,0,"[""2010028405"", ""1770441818"", ""2064029594"", ""3884003354"", ""3731635960"", ""334300056"", ""1235347618"", ""754480263"", ""2061878743"", ""1193964439"", ""380806748""]","[58655583, 58655583, 1128670012, 1128670012, 1366719170, 2917891787, 2917891787, 2917891787, 1128670012, 1366719170, 1366719170, 58655583, 58655583, 2917891787, 1128670012, 1366719170]",0
